genero,edad,region,nivel_educacion,sector_economico,situacion_laboral,ingreso_mensual,ocupado
Hombre,15,Metropolitana,Básica,,Inactivo,,False
Mujer,60,Valparaíso,Técnica,,Inactivo,,False
Hombre,60,Arica y Parinacota,Básica,Industria,Ocupado,466000.0,True
Hombre,34,Coquimbo,Universitaria,Comercio,Ocupado,611000.0,True
Mujer,50,Ñuble,Universitaria,,Inactivo,,False
Hombre,38,Metropolitana,Básica,,Inactivo,,False
Hombre,45,Valparaíso,Media,Comercio,Ocupado,262000.0,True
Hombre,23,Los Ríos,Universitaria,Transporte,Ocupado,661000.0,True
Mujer,51,Biobío,Media,,Inactivo,,False
Mujer,15,Coquimbo,Media,,Inactivo,,False
Mujer,15,Metropolitana,Postgrado,,Inactivo,,False
Hombre,40,Biobío,Media,,Desocupado,,False
Hombre,38,Maule,Media,,Inactivo,,False
Hombre,46,Los Lagos,Básica,Industria,Ocupado,2071000.0,True
Mujer,31,Atacama,Media,,Inactivo,,False
Mujer,72,Biobío,Universitaria,,Inactivo,,False
Hombre,44,Atacama,Técnica,Comercio,Ocupado,341000.0,True
Mujer,45,Metropolitana,Técnica,,Inactivo,,False
Hombre,45,Ñuble,Básica,Educación y salud,Ocupado,580000.0,True
Hombre,58,Maule,Universitaria,Servicios financieros,Ocupado,873000.0,True
Hombre,51,Arica y Parinacota,Media,Industria,Ocupado,255000.0,True
Mujer,49,Valparaíso,Media,,Inactivo,,False
Hombre,53,Biobío,Media,Educación y salud,Ocupado,398000.0,True
Hombre,15,Coquimbo,Media,,Inactivo,,False
Hombre,15,Metropolitana,Media,,Inactivo,,False
Mujer,40,Valparaíso,Media,,Inactivo,,False
Mujer,38,Coquimbo,Media,Agricultura,Ocupado,173000.0,True
Mujer,51,Biobío,Media,,Inactivo,,False
Mujer,42,Antofagasta,Técnica,Servicio doméstico,Ocupado,214000.0,True
Hombre,51,Metropolitana,Media,Construcción,Ocupado,463000.0,True
Hombre,22,Maule,Universitaria,Educación y salud,Ocupado,451000.0,True
Hombre,41,Antofagasta,Básica,Educación y salud,Ocupado,459000.0,True
Mujer,20,O'Higgins,Básica,Servicio doméstico,Ocupado,204000.0,True
Mujer,48,Metropolitana,Media,,Inactivo,,False
Mujer,15,Biobío,Básica,,Inactivo,,False
Mujer,47,Biobío,Media,,Inactivo,,False
Mujer,18,Biobío,Media,Comercio,Ocupado,238000.0,True
Mujer,35,Metropolitana,Básica,Servicio doméstico,Ocupado,373000.0,True
Mujer,56,Biobío,Media,Comercio,Ocupado,319000.0,True
Hombre,45,Metropolitana,Media,Construcción,Ocupado,633000.0,True
Mujer,15,Metropolitana,Técnica,Servicio doméstico,Ocupado,111000.0,True
Hombre,31,Atacama,Media,Transporte,Ocupado,584000.0,True
Hombre,17,Antofagasta,Postgrado,,Inactivo,,False
Mujer,15,Metropolitana,Media,,Inactivo,,False
Hombre,43,Metropolitana,Media,Comercio,Ocupado,2140000.0,True
